category,key,label,default_value,unit,notes
Product,target_bag_kg,Target bag size,25,kg,Average packaging for 20kg/25kg finishing materials
Product,bags_per_pallet,Bags per pallet,48,bags,Working logistics assumption
Revenue,selling_price_eur_per_ton,Wholesale selling price,420,EUR/t,Portfolio average; replace with validated product mix
Production,process_yield,Raw to finished yield,0.95,ratio,Limestone filler to finished packaged dry mix
Raw material,extraction_cost_eur_per_raw_t,Limestone / filler cost,5,EUR/raw t,Partner data needed
Raw material,quarry_to_plant_transport_eur_per_raw_t,Internal transport / supply,2,EUR/raw t,Depends on plant location
Processing,calcination_eur_per_finished_t,Micronization / sorting cost,25,EUR/t,Former calcination field retained for model compatibility
Processing,grinding_eur_per_finished_t,Dry mixing cost,10,EUR/t,Mixing and dosing to target recipe
Processing,additives_eur_per_finished_t,Additives cost,55,EUR/t,Polymers cellulose lime/cement and performance additives
Processing,direct_labor_eur_per_finished_t,Direct labor,7,EUR/t,Production labor
Packaging,bag_packaging_eur_per_bag,Bag and label cost,0.18,EUR/bag,20/25kg bag and labeling
Logistics,distribution_eur_per_finished_t,Distribution cost,6,EUR/t,Finished goods local logistics
Other,other_variable_eur_per_finished_t,Other variable cost,3,EUR/t,Spares losses and handling
Fixed,fixed_opex_eur_per_month,Fixed operating cost,8000,EUR/month,Admin sales warehouse and base overhead
Working capital,working_capital_months,Working capital buffer,1.5,months,Months of variable plus fixed cost to fund
Financing,financing_enabled,Financing enabled,1,0/1,1 means model debt service
Financing,financed_share,Financed share of funding need,0.4,ratio,Optional debt share
Financing,interest_rate_annual,Annual interest rate,0.09,ratio,Working loan assumption
Financing,loan_term_years,Loan term,5,years,Optional debt term
